epoch,loss,main_out_acc,main_out_loss,posts_reg_out_acc,posts_reg_out_loss,titles_reg_out_acc,titles_reg_out_loss,val_loss,val_main_out_acc,val_main_out_loss,val_posts_reg_out_acc,val_posts_reg_out_loss,val_titles_reg_out_acc,val_titles_reg_out_loss
0,2.3485856747254727,0.50986718686617682,1.658877332159318,0.46337890430149853,1.7880226103123278,0.49653515430618428,1.660519030247815,1.8888793129473924,0.59537499793805182,1.3267389566637575,0.54756249729543927,1.4772072693333029,0.57589062303304672,1.3334944263100623
1,1.5752154246438295,0.66258593879174443,1.054025348997675,0.58241015480598435,1.3646219301270321,0.59998046801192684,1.2413283838890492,1.5781473690643906,0.65498437555506828,1.0622289015911519,0.59799999878741805,1.3346939922310412,0.59901562361046667,1.2448982717469335
2,1.4179780273232609,0.69041406437754627,0.93815976446494465,0.62044140601065012,1.2444541782839225,0.62369140613591301,1.1546370957279577,1.6351122101768851,0.64012500052340326,1.1363062785007059,0.61896874941885471,1.2817974090576172,0.6081249990966171,1.2122321953065693
3,1.3284528829157352,0.70903125107288356,0.87334228102117772,0.64346484472043808,1.1728249851847068,0.63757812553085391,1.1027280078968034,1.5688445115461946,0.6472187509760261,1.0774021643213927,0.61462500086054206,1.2579480851069094,0.60856249928474426,1.1992635922506452
4,1.2563870091689751,0.72344531328417361,0.81940903443610291,0.6603867200436071,1.1188624974573032,0.6475312502472661,1.0660273436224088,1.5544196836650372,0.65354687580838799,1.0677299989387392,0.63329687505029142,1.2398697474971414,0.61187499952502544,1.1935786190442741
5,1.1983103037113323,0.7351054694037884,0.77584385058144112,0.67238672003149991,1.0745699521386995,0.65503906389931221,1.0377622871892527,1.6617480183020235,0.6152968741953373,1.1751009796746075,0.63203124920837583,1.2346401452086866,0.60754687446169553,1.1985949886031448
6,1.1500467288540677,0.74544531311839823,0.73998448296915742,0.68293750155717137,1.0358176512178034,0.6612226570025086,1.014493551198393,1.5178793048486114,0.66903125289827581,1.0321415840648114,0.63525000074878335,1.2335791582241655,0.61168749965727331,1.1951093902811407
7,1.1094876740826294,0.75462109332438554,0.71010401870589701,0.69294922070112075,1.0019833974540233,0.66549218860454862,0.99493484585545955,1.5237023413181305,0.66175000062212352,1.0362328300252557,0.63339062510058286,1.2367738858796655,0.60896874843165283,1.2005736434832215
8,1.0753645074088127,0.76353124878369272,0.68520333658671007,0.70127343917265539,0.97175277119968084,0.66987109498586506,0.97905304497107859,1.5468862615525723,0.66595312692224984,1.0570013680495323,0.63853125055320559,1.2439241197891533,0.60678124888800089,1.2055003082379698
9,1.0397915762383492,0.77139843562617894,0.65801312520634381,0.70930468896403909,0.94406860913150015,0.67322265820112082,0.96482360863592476,1.5381100272759796,0.66853125123307111,1.0468368418514729,0.64145312523469333,1.2457705817185343,0.60671874955296512,1.2105952844955028
