feature,0,1,2,3,4
BodyNCodes,0.0,1.0,2.0,3.0,7.0
BodyNQMarks,0.0,1.0,1.0,1.0,3.0
BodySize,411.0,740.0,1119.0,1715.0,3365.0
nwords,15.0,24.0,34.0,48.0,78.0
ordermean,396.73826087,737.250789474,1051.66666667,1408.94070588,2033.22174636
orderstd,572.492498734,1326.13583252,2248.73003859,3136.62632535,4512.47475075
ordersum,6126.0,15541.0,25766.0,39341.94,66589.14
quants,0.1,0.3,0.5,0.7,0.9
ratio,0.25,0.37037037037,0.466666666667,0.583333333333,0.806451612903
titlelen,32.0,43.0,52.0,63.0,82.0
